===============================================================================
Id,2006-day-001,len,datetime,open,high,low,close,volume,openinterest,LongShortStrategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
1,2006-day-001,1,2006-01-02 23:59:59.999989,3578.73,3605.95,3578.73,3604.33,0.0,0.0,LongShortStrategy,1,732313.9999999999,Broker,1,100000.0,100000.0,BuySell,1,,,Trades - Net Profit/Loss,1,,
2,2006-day-001,2,2006-01-03 23:59:59.999989,3604.08,3638.42,3601.84,3614.34,0.0,0.0,LongShortStrategy,2,732314.9999999999,Broker,2,100000.0,100000.0,BuySell,2,,,Trades - Net Profit/Loss,2,,
3,2006-day-001,3,2006-01-04 23:59:59.999989,3615.23,3652.46,3615.23,3652.46,0.0,0.0,LongShortStrategy,3,732315.9999999999,Broker,3,100000.0,100000.0,BuySell,3,,,Trades - Net Profit/Loss,3,,
4,2006-day-001,4,2006-01-05 23:59:59.999989,3652.19,3661.65,3643.17,3650.24,0.0,0.0,LongShortStrategy,4,732316.9999999999,Broker,4,100000.0,100000.0,BuySell,4,,,Trades - Net Profit/Loss,4,,
5,2006-day-001,5,2006-01-06 23:59:59.999989,3650.54,3666.99,3647.66,3666.99,0.0,0.0,LongShortStrategy,5,732317.9999999999,Broker,5,100000.0,100000.0,BuySell,5,,,Trades - Net Profit/Loss,5,,
6,2006-day-001,6,2006-01-09 23:59:59.999989,3667.1,3685.99,3667.1,3671.78,0.0,0.0,LongShortStrategy,6,732320.9999999999,Broker,6,100000.0,100000.0,BuySell,6,,,Trades - Net Profit/Loss,6,,
7,2006-day-001,7,2006-01-10 23:59:59.999989,3671.23,3671.23,3638.77,3644.94,0.0,0.0,LongShortStrategy,7,732321.9999999999,Broker,7,100000.0,100000.0,BuySell,7,,,Trades - Net Profit/Loss,7,,
8,2006-day-001,8,2006-01-11 23:59:59.999989,3645.73,3674.31,3645.73,3668.61,0.0,0.0,LongShortStrategy,8,732322.9999999999,Broker,8,100000.0,100000.0,BuySell,8,,,Trades - Net Profit/Loss,8,,
9,2006-day-001,9,2006-01-12 23:59:59.999989,3667.16,3676.0,3656.99,3670.2,0.0,0.0,LongShortStrategy,9,732323.9999999999,Broker,9,100000.0,100000.0,BuySell,9,,,Trades - Net Profit/Loss,9,,
10,2006-day-001,10,2006-01-13 23:59:59.999989,3670.27,3670.27,3618.06,3629.25,0.0,0.0,LongShortStrategy,10,732324.9999999999,Broker,10,100000.0,100000.0,BuySell,10,,,Trades - Net Profit/Loss,10,,
